kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
80,4,1500,10,256,32,2,1,[80; 4; 1500; 10; 256; 32; 2; 1],0.033063790993764997,0.5530434876376552,tvm
128,32,50,5,320,32,2,1,[128; 32; 50; 5; 320; 32; 2; 1],0.025027118768775836,0.7306360134642341,tvm
160,40,5,5,128,32,2,0,[160; 40; 5; 5; 128; 32; 2; 0],0.025786608253838494,0.7091166897838279,tvm
160,80,500,10,64,32,2,1,[160; 80; 500; 10; 64; 32; 2; 1],0.030936241761082783,0.5910774303786757,tvm
256,8,4,4,64,32,2,1,[256; 8; 4; 4; 64; 32; 2; 1],0.04119481099769473,0.4438839223400627,tvm
80,5,12,3,128,64,4,1,[80; 5; 12; 3; 128; 64; 4; 1],0.027288484998280182,0.670089024248386,tvm
128,64,30,10,160,32,2,1,[128; 64; 30; 10; 160; 32; 2; 1],0.029360472515691072,0.6228004088129672,tvm
128,8,100,5,160,32,2,0,[128; 8; 100; 5; 160; 32; 2; 0],0.0281145449844189,0.6504005060671707,tvm
160,10,750,10,128,32,2,1,[160; 10; 750; 10; 128; 32; 2; 1],0.023995135125005618,0.7620592336926882,tvm
128,128,25,5,64,64,4,0,[128; 128; 25; 5; 64; 64; 4; 0],0.02880403251037933,0.6348317472258497,tvm
160,8,60,12,160,32,2,1,[160; 8; 60; 12; 160; 32; 2; 1],0.022882746008690447,0.7991048923398314,tvm
80,4,20,10,64,32,2,0,[80; 4; 20; 10; 64; 32; 2; 0],0.028993077256018296,0.630692427859433,tvm
80,5,60,5,160,80,5,0,[80; 5; 60; 5; 160; 80; 5; 0],0.0258939765044488,0.7061763681824863,tvm
80,40,375,5,128,64,4,1,[80; 40; 375; 5; 128; 64; 4; 1],0.025729644752573222,0.7106866208825341,tvm
160,10,1500,5,160,32,2,1,[160; 10; 1500; 5; 160; 32; 2; 1],0.03011890675406903,0.6071174639578811,tvm
128,128,5,5,160,32,2,1,[128; 128; 5; 5; 160; 32; 2; 1],0.03182891698088497,0.5745000465047514,tvm
80,10,75,5,256,32,2,1,[80; 10; 75; 5; 256; 32; 2; 1],0.03187595249619335,0.5736523257743587,tvm
80,80,10,5,160,80,5,1,[80; 80; 10; 5; 160; 80; 5; 1],0.04585812348523177,0.39874536714532266,tvm
160,20,25,5,64,32,2,1,[160; 20; 25; 5; 64; 32; 2; 1],0.026389318227302283,0.6929210572327693,tvm
80,10,750,5,64,64,4,1,[80; 10; 750; 5; 64; 64; 4; 1],0.023664968117373064,0.7726912707011117,tvm
80,10,50,5,64,32,2,1,[80; 10; 50; 5; 64; 32; 2; 1],0.02824578748550266,0.647378455817511,tvm
256,4,12,6,64,32,2,1,[256; 4; 12; 6; 64; 32; 2; 1],0.03680939174955711,0.4967676295801411,tvm
80,4,12,6,32,32,2,1,[80; 4; 12; 6; 32; 32; 2; 1],0.029563920747023076,0.6185145212025221,tvm
80,5,60,5,128,64,4,1,[80; 5; 60; 5; 128; 64; 4; 1],0.023710705630946904,0.7712007635001807,tvm
64,8,1500,10,256,32,2,1,[64; 8; 1500; 10; 256; 32; 2; 1],0.03247870001359843,0.5630063481007025,tvm
80,80,20,5,320,64,4,0,[80; 80; 20; 5; 320; 64; 4; 0],0.036895524739520624,0.49560792033207085,tvm
80,8,250,5,320,32,2,0,[80; 8; 250; 5; 320; 32; 2; 0],0.031059651752002537,0.5887288895483297,tvm
160,16,30,10,64,16,1,0,[160; 16; 30; 10; 64; 16; 1; 0],0.031441824248759076,0.5815729437656906,tvm
64,8,500,4,256,64,4,1,[64; 8; 500; 4; 256; 64; 4; 1],0.03230691174394451,0.5660000692929646,tvm
160,4,60,10,80,16,1,1,[160; 4; 60; 10; 80; 16; 1; 1],0.031569385988404974,0.5792229944678174,tvm
256,8,60,20,128,16,1,1,[256; 8; 60; 20; 128; 16; 1; 1],0.04179105625371449,0.4375509002381104,tvm
256,1,60,10,256,32,2,0,[256; 1; 60; 10; 256; 32; 2; 0],0.05803094746079296,0.3151028043798274,tvm
80,80,1500,6,64,64,4,1,[80; 80; 1500; 6; 64; 64; 4; 1],0.02615327574312687,0.6991749127456742,tvm
160,16,750,10,80,16,1,1,[160; 16; 750; 10; 80; 16; 1; 1],0.030596551252529025,0.597639718764148,tvm
160,32,250,10,160,32,2,0,[160; 32; 250; 10; 160; 32; 2; 0],0.030708492500707507,0.5954611508621921,tvm
64,32,10,10,128,32,2,0,[64; 32; 10; 10; 128; 32; 2; 0],0.03466911951545626,0.5274352086606097,tvm
80,1,375,5,256,64,4,0,[80; 1; 375; 5; 256; 64; 4; 0],0.032053081260528415,0.5704822615051404,tvm
128,1,300,4,32,32,2,1,[128; 1; 300; 4; 32; 32; 2; 1],0.03241246801917441,0.5641568014782741,tvm
64,2,20,5,80,80,5,1,[64; 2; 20; 5; 80; 80; 5; 1],0.02432347812282387,0.7517721846102238,tvm
80,1,6,6,128,32,2,0,[80; 1; 6; 6; 128; 32; 2; 0],0.02925820800010115,0.6249772469199437,tvm
256,1,60,5,128,32,2,0,[256; 1; 60; 5; 128; 32; 2; 0],0.05600316502386704,0.32651215833821906,tvm
64,16,20,10,160,32,2,0,[64; 16; 20; 10; 160; 32; 2; 0],0.02729779772926122,0.6698604212351297,tvm
80,4,300,4,80,80,5,0,[80; 4; 300; 4; 80; 80; 5; 0],0.02780783749767579,0.6575741205062288,tvm
80,80,125,5,64,64,4,1,[80; 80; 125; 5; 64; 64; 4; 1],0.026742714748252183,0.6837643245216675,tvm
128,32,250,5,64,32,2,0,[128; 32; 250; 5; 64; 32; 2; 0],0.029145610751584172,0.6273917002998605,tvm
128,32,10,10,80,16,1,1,[128; 32; 10; 10; 80; 16; 1; 1],0.02963962301146239,0.6169347794552832,tvm
128,64,25,5,32,32,2,0,[128; 64; 25; 5; 32; 32; 2; 0],0.034913772746222094,0.5237392824495865,tvm
160,10,375,5,32,32,2,0,[160; 10; 375; 5; 32; 32; 2; 0],0.029905473260441795,0.6114504233545158,tvm
80,4,10,5,256,32,2,0,[80; 4; 10; 5; 256; 32; 2; 0],0.03277839976362884,0.5578586635581965,tvm
256,4,25,5,64,32,2,0,[256; 4; 25; 5; 64; 32; 2; 0],0.05466462523327209,0.33450726512224455,tvm
80,8,15,3,320,64,4,1,[80; 8; 15; 3; 320; 64; 4; 1],0.026572157978080213,0.6881531526644715,tvm
80,40,1500,12,320,32,2,1,[80; 40; 1500; 12; 320; 32; 2; 1],0.033638691471423954,0.5435917238709476,tvm
160,8,125,5,320,32,2,0,[160; 8; 125; 5; 320; 32; 2; 0],0.027424037019954994,0.6667768962100203,tvm
128,32,500,5,32,32,2,0,[128; 32; 500; 5; 32; 32; 2; 0],0.0318161272443831,0.5747309892640217,tvm
80,2,125,5,256,32,2,1,[80; 2; 125; 5; 256; 32; 2; 1],0.033908234763657674,0.5392706053018317,tvm
64,8,60,6,128,64,4,0,[64; 8; 60; 6; 128; 64; 4; 0],0.02776243450352922,0.6586495245361054,tvm
80,40,12,4,160,32,2,0,[80; 40; 12; 4; 160; 32; 2; 0],0.03293095150729641,0.5552743983623667,tvm
160,1,60,4,64,32,2,1,[160; 1; 60; 4; 64; 32; 2; 1],0.029865880991565064,0.6122610041498079,tvm
256,1,50,5,320,32,2,1,[256; 1; 50; 5; 320; 32; 2; 1],0.03715337425819598,0.49216833331579524,tvm
80,2,6,6,160,32,2,1,[80; 2; 6; 6; 160; 32; 2; 1],0.025808234262512997,0.7085224854873032,tvm
64,8,1500,5,128,64,4,1,[64; 8; 1500; 5; 128; 64; 4; 1],0.025717471755342558,0.7110230142243903,tvm
160,5,1500,12,64,32,2,1,[160; 5; 1500; 12; 64; 32; 2; 1],0.025711063761264086,0.7112002231997603,tvm
128,2,1500,6,256,64,4,1,[128; 2; 1500; 6; 256; 64; 4; 1],0.028403322241501883,0.643787868554189,tvm
64,32,30,5,160,32,2,1,[64; 32; 30; 5; 160; 32; 2; 1],0.02704142325092107,0.6762112377014567,tvm
128,2,150,5,128,64,4,1,[128; 2; 150; 5; 128; 64; 4; 1],0.022653875377727672,0.8071781971437887,tvm
256,16,6,6,128,32,2,0,[256; 16; 6; 6; 128; 32; 2; 0],0.05030992050888017,0.36346140285565925,tvm
160,16,150,5,160,32,2,1,[160; 16; 150; 5; 160; 32; 2; 1],0.026384235243313015,0.6930545500782985,tvm
