kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
12,2,197,1,128,64,4,1,[12; 2; 197; 1; 128; 64; 4; 1],0.0014910744457665714,0.14495395818149462,tvm
8,1,1,1,96,96,6,0,[8; 1; 1; 1; 96; 96; 6; 0],0.003315340061817551,0.06519305375227516,tvm
12,4,1,1,96,96,6,0,[12; 4; 1; 1; 96; 96; 6; 0],0.0022506700461235596,0.09603235411134854,tvm
6,6,1,1,96,96,6,0,[6; 6; 1; 1; 96; 96; 6; 0],0.002049221937340917,0.1054727840448574,tvm
12,1,1,1,96,96,6,0,[12; 1; 1; 1; 96; 96; 6; 0],0.0011688252807289246,0.18491826487732313,tvm
12,3,197,1,128,64,4,1,[12; 3; 197; 1; 128; 64; 4; 1],0.001995709342736518,0.10830091247695191,tvm
6,1,197,1,64,64,4,0,[6; 1; 197; 1; 64; 64; 4; 0],0.0024718796394154197,0.08743837661459018,tvm
6,2,197,1,64,64,4,0,[6; 2; 197; 1; 64; 64; 4; 0],0.001620695420569973,0.13336074139157547,tvm
3,1,1,1,96,96,6,0,[3; 1; 1; 1; 96; 96; 6; 0],0.002751430874923244,0.07855445136820759,tvm
4,2,197,1,64,64,4,0,[4; 2; 197; 1; 64; 64; 4; 0],0.0024920752039179206,0.08672978348219285,tvm
2,2,1,1,96,96,6,0,[2; 2; 1; 1; 96; 96; 6; 0],0.003760052095458377,0.05748248624485991,tvm
16,4,1,1,96,96,6,0,[16; 4; 1; 1; 96; 96; 6; 0],0.0026938104529108386,0.08023472572971588,tvm
6,1,1,1,96,96,6,1,[6; 1; 1; 1; 96; 96; 6; 1],0.0010771611478048726,0.20065441767706238,tvm
4,4,1,1,96,96,6,0,[4; 4; 1; 1; 96; 96; 6; 0],0.0027635738897515694,0.07820928677125852,tvm
12,6,197,1,64,64,4,0,[12; 6; 197; 1; 64; 64; 4; 0],0.002098887844113051,0.10297698538936376,tvm
4,2,1,1,96,96,6,0,[4; 2; 1; 1; 96; 96; 6; 0],0.00265442896852619,0.08142509949216986,tvm
12,4,197,1,128,64,4,1,[12; 4; 197; 1; 128; 64; 4; 1],0.000999046242213808,0.2163434821377236,tvm
4,1,1,1,96,96,6,1,[4; 1; 1; 1; 96; 96; 6; 1],0.00211319187474146,0.10227994222417038,tvm
24,24,197,1,64,64,4,1,[24; 24; 197; 1; 64; 64; 4; 1],0.002127656312950421,0.10158461286326148,tvm
16,2,1,1,96,96,6,0,[16; 2; 1; 1; 96; 96; 6; 0],0.001142716023423418,0.18914335532779708,tvm
