kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
40,40,20,1,128,128,0,[40; 40; 20; 1; 128; 128; 0],0.017801025125663728,0.2568070399966992,tvm
4,1,5,1,64,64,1,[4; 1; 5; 1; 64; 64; 1],0.016010496750823222,0.28552696662541216,tvm
16,2,3,1,256,64,1,[16; 2; 3; 1; 256; 64; 1],0.018393616992398165,0.2485334218559559,tvm
160,40,10,1,64,64,1,[160; 40; 10; 1; 64; 64; 1],0.03215967875439674,0.14214783071499384,tvm
32,16,100,1,256,64,1,[32; 16; 100; 1; 256; 64; 1],0.017547459137858823,0.26051797787439596,tvm
40,4,50,1,64,64,0,[40; 4; 50; 1; 64; 64; 0],0.0357157809776254,0.12799464120054943,tvm
32,4,50,1,128,128,1,[32; 4; 50; 1; 128; 128; 1],0.02876113649108447,0.15894464298535793,tvm
1,1,60,1,64,64,1,[1; 1; 60; 1; 64; 64; 1],0.06570149952312931,0.06957875550190849,tvm
256,32,60,1,128,64,1,[256; 32; 60; 1; 128; 64; 1],0.04231440051808022,0.10803481829963013,tvm
640,20,1,1,64,64,1,[640; 20; 1; 1; 64; 64; 1],0.017107454885262996,0.26721850807664976,tvm
32,2,375,1,64,64,1,[32; 2; 375; 1; 64; 64; 1],0.013547676368034445,0.3374326672147848,tvm
80,40,300,1,64,64,0,[80; 40; 300; 1; 64; 64; 0],0.017853032870334573,0.25605893433516663,tvm
40,20,1500,1,64,64,1,[40; 20; 1500; 1; 64; 64; 1],0.028924679500050843,0.15804595419702183,tvm
32,16,60,1,128,128,1,[32; 16; 60; 1; 128; 128; 1],0.028389491490088403,0.16102537704927158,tvm
640,2,75,1,64,64,1,[640; 2; 75; 1; 64; 64; 1],0.03148904148838483,0.14517522145330486,tvm
5,5,6,1,128,128,1,[5; 5; 6; 1; 128; 128; 1],0.049514670739881694,0.09232472927960934,tvm
10,1,375,1,256,64,1,[10; 1; 375; 1; 256; 64; 1],0.033619065245147794,0.13597726581908345,tvm
32,16,12,1,64,64,0,[32; 16; 12; 1; 64; 64; 0],0.015719398885266855,0.2908144646493565,tvm
32,32,100,1,320,64,1,[32; 32; 100; 1; 320; 64; 1],0.019751076237298548,0.2314521252667611,tvm
640,5,100,1,64,64,1,[640; 5; 100; 1; 64; 64; 1],0.017095085000619292,0.2674118655311141,tvm
320,40,2,1,64,64,1,[320; 40; 2; 1; 64; 64; 1],0.03437292150920257,0.1329950545578349,tvm
40,8,10,1,128,128,1,[40; 8; 10; 1; 128; 128; 1],0.04534661999787204,0.10081078968273915,tvm
64,32,10,1,320,64,1,[64; 32; 10; 1; 320; 64; 1],0.05664768401766196,0.08069930219924373,tvm
320,16,75,1,64,64,1,[320; 16; 75; 1; 64; 64; 1],0.03922170025180094,0.11655355433548972,tvm
32,4,10,1,256,128,1,[32; 4; 10; 1; 256; 128; 1],0.04470784048317,0.10225116046813888,tvm
20,20,500,1,64,64,0,[20; 20; 500; 1; 64; 64; 0],0.017316439116257243,0.2639935693901851,tvm
32,32,125,1,64,64,0,[32; 32; 125; 1; 64; 64; 0],0.013946203762316145,0.32779017497083823,tvm
20,20,300,1,256,128,1,[20; 20; 300; 1; 256; 128; 1],0.027954137476626784,0.16353316482223312,tvm
20,10,1500,1,64,64,0,[20; 10; 1500; 1; 64; 64; 0],0.041037928516743705,0.11139520771774343,tvm
64,64,50,1,320,64,1,[64; 64; 50; 1; 320; 64; 1],0.020436896505998448,0.22368506735290306,tvm
16,1,100,1,64,64,0,[16; 1; 100; 1; 64; 64; 0],0.029833217500708997,0.15323283756838935,tvm
20,4,12,1,256,128,1,[20; 4; 12; 1; 256; 128; 1],0.03314386075362563,0.1379268578700054,tvm
8,4,100,1,256,64,1,[8; 4; 100; 1; 256; 64; 1],0.036345408734632656,0.12577733283468534,tvm
16,16,150,1,128,128,1,[16; 16; 150; 1; 128; 128; 1],0.01449291262542829,0.3154251108509307,tvm
16,4,30,1,128,64,1,[16; 4; 30; 1; 128; 64; 1],0.014890321501297876,0.307006707076816,tvm
256,8,500,1,64,64,0,[256; 8; 500; 1; 64; 64; 0],0.028034437738824636,0.16306474964888068,tvm
16,16,125,1,128,64,1,[16; 16; 125; 1; 128; 64; 1],0.02563970274059102,0.17829491307601628,tvm
10,2,4,1,128,64,1,[10; 2; 4; 1; 128; 64; 1],0.016003902739612386,0.28564461093065174,tvm
20,20,75,1,128,64,1,[20; 20; 75; 1; 128; 64; 1],0.02899870474357158,0.1576425089276432,tvm
20,20,2,1,256,128,1,[20; 20; 2; 1; 256; 128; 1],0.04336515723844059,0.10541708741635271,tvm
