i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
32,16,16,32,32,16,32,8,1,0,[32; 16; 16; 32; 32; 16; 32; 8; 1; 0],0.40277257503475994,0.13884771903476048,tvm
32,32,4,14336,512,64,8,4,4,1,[32; 32; 4; 14336; 512; 64; 8; 4; 4; 1],0.1274700410431251,0.438723113883782,tvm
64,16,4,7168,128,16,16,4,1,1,[64; 16; 4; 7168; 128; 16; 16; 4; 1; 1],0.2540999170159921,0.2200868618536923,tvm
64,64,4,3584,1792,64,8,4,4,1,[64; 64; 4; 3584; 1792; 64; 8; 4; 4; 1],0.11318683892022818,0.4940861841079199,tvm
64,16,4,2048,512,16,8,2,1,1,[64; 16; 4; 2048; 512; 16; 8; 2; 1; 1],0.1463216170668602,0.3821995304205762,tvm
64,32,4,512,256,32,32,1,2,1,[64; 32; 4; 512; 256; 32; 32; 1; 2; 1],0.13294568099081516,0.42065340458256006,tvm
64,64,8,1792,448,32,4,2,2,0,[64; 64; 8; 1792; 448; 32; 4; 2; 2; 0],0.21095069404691458,0.2651048558337336,tvm
64,16,8,896,64,16,32,1,1,1,[64; 16; 8; 896; 64; 16; 32; 1; 1; 1],0.2718926169909537,0.2056843394728663,tvm
32,16,16,896,128,16,32,1,1,1,[32; 16; 16; 896; 128; 16; 32; 1; 1; 1],0.4157432320062071,0.1345158478310439,tvm
64,16,8,7168,7168,16,4,1,1,1,[64; 16; 8; 7168; 7168; 16; 4; 1; 1; 1],0.16697537805885077,0.33492395096493094,tvm
32,32,4,7168,896,16,2,2,1,0,[32; 32; 4; 7168; 896; 16; 2; 2; 1; 0],0.23057844396680593,0.2425380810592345,tvm
64,32,4,224,16,16,16,16,1,0,[64; 32; 4; 224; 16; 16; 16; 16; 1; 0],0.24192034802399576,0.23116721594574716,tvm
64,64,4,32,32,16,4,4,1,0,[64; 64; 4; 32; 32; 16; 4; 4; 1; 0],0.3029591350350529,0.18459272841158206,tvm
32,32,8,14336,32,16,32,1,1,0,[32; 32; 8; 14336; 32; 16; 32; 1; 1; 0],0.2083483220776543,0.26841614453938184,tvm
64,64,8,448,64,16,16,16,1,0,[64; 64; 8; 448; 64; 16; 16; 16; 1; 0],0.2059552629943937,0.2715349562824993,tvm
64,32,4,112,112,16,32,4,1,1,[64; 32; 4; 112; 112; 16; 32; 4; 1; 1],0.1883695770520717,0.2968847422632055,tvm
32,32,16,512,64,16,4,4,1,0,[32; 32; 16; 512; 64; 16; 4; 4; 1; 0],0.39591311500407755,0.14125334881305301,tvm
64,32,4,128,64,16,16,1,1,1,[64; 32; 4; 128; 64; 16; 16; 1; 1; 1],0.2454963499912992,0.22779993810627072,tvm
64,32,16,128,32,16,8,8,1,1,[64; 32; 16; 128; 32; 16; 8; 8; 1; 1],0.4502594799268991,0.12420405527588839,tvm
32,32,16,448,112,16,1,1,1,1,[32; 32; 16; 448; 112; 16; 1; 1; 1; 1],0.39758559106849134,0.14065915513447116,tvm
64,64,4,256,64,16,16,8,1,1,[64; 64; 4; 256; 64; 16; 16; 8; 1; 1],0.20993805292528123,0.2663835953229365,tvm
64,8,4,2048,1024,64,64,8,4,1,[64; 8; 4; 2048; 1024; 64; 64; 8; 4; 1],0.2243635490303859,0.2492564125278632,tvm
64,64,2,14336,2048,64,256,1,4,1,[64; 64; 2; 14336; 2048; 64; 256; 1; 4; 1],0.3843177839880809,0.14551513269307292,tvm
16,16,8,7168,1792,16,16,16,1,0,[16; 16; 8; 7168; 1792; 16; 16; 16; 1; 0],0.14780076500028372,0.3783745864456519,tvm
64,64,2,14336,3584,64,128,16,4,0,[64; 64; 2; 14336; 3584; 64; 128; 16; 4; 0],0.3686871280660853,0.15168431191693038,tvm
64,8,4,1024,1024,64,2,1,4,1,[64; 8; 4; 1024; 1024; 64; 2; 1; 4; 1],0.20273151504807174,0.27585278648005274,tvm
32,32,1,14336,3584,128,64,4,8,0,[32; 32; 1; 14336; 3584; 128; 64; 4; 8; 0],0.3401734180515632,0.16439865776007345,tvm
64,64,4,14336,896,64,128,4,4,0,[64; 64; 4; 14336; 896; 64; 128; 4; 4; 0],0.16302474297117442,0.3430402791263512,tvm
64,8,2,7168,3584,64,8,4,4,1,[64; 8; 2; 7168; 3584; 64; 8; 4; 4; 1],0.26183300802949816,0.2135867198494428,tvm
16,16,2,896,896,32,8,4,2,0,[16; 16; 2; 896; 896; 32; 8; 4; 2; 0],0.16985444398596883,0.32924692472546113,tvm
64,64,2,7168,128,128,64,32,8,0,[64; 64; 2; 7168; 128; 128; 64; 32; 8; 0],0.14543386304285377,0.38453254395679953,tvm
64,8,4,1792,896,64,32,2,4,1,[64; 8; 4; 1792; 896; 64; 32; 2; 4; 1],0.17980523500591516,0.3110257236475543,tvm
64,16,2,896,224,32,16,2,2,0,[64; 16; 2; 896; 224; 32; 16; 2; 2; 0],0.23468058207072318,0.23829859650032784,tvm
64,32,8,14336,448,16,64,8,1,0,[64; 32; 8; 14336; 448; 16; 64; 8; 1; 0],0.19797801692038774,0.2824760758959511,tvm
32,32,4,1024,128,64,64,1,4,1,[32; 32; 4; 1024; 128; 64; 64; 1; 4; 1],0.13138373394031078,0.42565431546298044,tvm
64,16,4,2048,2048,64,128,8,4,1,[64; 16; 4; 2048; 2048; 64; 128; 8; 4; 1],0.21206118806730956,0.26371658974004564,tvm
32,32,1,1792,1792,64,8,8,4,0,[32; 32; 1; 1792; 1792; 64; 8; 8; 4; 0],0.2734737459104508,0.20449514503540572,tvm
32,32,4,1024,128,64,16,2,4,1,[32; 32; 4; 1024; 128; 64; 16; 2; 4; 1],0.14600376202724874,0.38303159149348637,tvm
16,16,2,14336,14336,112,2,1,7,0,[16; 16; 2; 14336; 14336; 112; 2; 1; 7; 0],0.35833386797457933,0.15606689272614516,tvm
32,32,2,3584,256,64,64,64,4,0,[32; 32; 2; 3584; 256; 64; 64; 64; 4; 0],0.19282978191040456,0.2900177181101496,tvm
32,32,1,7168,3584,128,8,8,8,0,[32; 32; 1; 7168; 3584; 128; 8; 8; 8; 0],0.25690530496649444,0.21768352872521235,tvm
64,64,8,512,256,16,32,8,1,0,[64; 64; 8; 512; 256; 16; 32; 8; 1; 0],0.13538173597771674,0.4130841795568214,tvm
64,32,2,14336,224,32,8,1,2,0,[64; 32; 2; 14336; 224; 32; 8; 1; 2; 0],0.15837267599999905,0.35311680490474046,tvm
64,16,16,3584,512,16,64,4,1,0,[64; 16; 16; 3584; 512; 16; 64; 4; 1; 0],0.3850320529891178,0.14524518906719155,tvm
64,32,2,512,128,64,32,4,4,1,[64; 32; 2; 512; 128; 64; 32; 4; 4; 1],0.17050249793101102,0.3279955074673534,tvm
64,32,1,3584,896,112,16,4,7,1,[64; 32; 1; 3584; 896; 112; 16; 4; 7; 1],0.25564566103275865,0.21875612168581723,tvm
32,32,2,7168,256,64,8,4,4,0,[32; 32; 2; 7168; 256; 64; 8; 4; 4; 0],0.15730461897328496,0.35551437521889245,tvm
64,64,1,14336,896,224,8,1,14,1,[64; 64; 1; 14336; 896; 224; 8; 1; 14; 1],0.14826147991698235,0.37719880689608315,tvm
64,32,2,448,448,112,8,4,7,0,[64; 32; 2; 448; 448; 112; 8; 4; 7; 0],0.16914316802285612,0.33063146438037855,tvm
64,16,2,2048,256,128,16,8,8,1,[64; 16; 2; 2048; 256; 128; 16; 8; 8; 1],0.18461414496414363,0.30292398962276207,tvm
32,32,8,1792,224,32,16,16,2,1,[32; 32; 8; 1792; 224; 32; 16; 16; 2; 1],0.16490793810226023,0.3391228704748861,tvm
32,32,4,7168,512,16,32,4,1,0,[32; 32; 4; 7168; 512; 16; 32; 4; 1; 0],0.1651881440775469,0.3385476218382841,tvm
32,16,4,14336,3584,16,4,4,1,0,[32; 16; 4; 14336; 3584; 16; 4; 4; 1; 0],0.19394452299457043,0.28835077407624937,tvm
64,64,2,2048,512,16,64,4,1,1,[64; 64; 2; 2048; 512; 16; 64; 4; 1; 1],0.2628674149746075,0.21274623687662272,tvm
32,32,16,14336,1792,16,4,4,1,0,[32; 32; 16; 14336; 1792; 16; 4; 4; 1; 0],0.26382676197681576,0.21197263277729103,tvm
64,16,8,896,896,16,16,1,1,0,[64; 16; 8; 896; 896; 16; 16; 1; 1; 0],0.16067612101323903,0.3480545396582323,tvm
64,32,4,3584,448,64,8,2,4,1,[64; 32; 4; 3584; 448; 64; 8; 2; 4; 1],0.13614074396900833,0.4107811644254282,tvm
64,64,4,3584,224,32,16,2,2,1,[64; 64; 4; 3584; 224; 32; 16; 2; 2; 1],0.12343698798213154,0.45305750122020777,tvm
32,32,2,14336,7168,16,8,4,1,0,[32; 32; 2; 14336; 7168; 16; 8; 4; 1; 0],0.1916071439627558,0.29186831021396437,tvm
64,32,2,7168,896,128,64,32,8,0,[64; 32; 2; 7168; 896; 128; 64; 32; 8; 0],0.16400214296299964,0.3409958694622076,tvm
32,16,2,1024,1024,32,4,4,2,1,[32; 16; 2; 1024; 1024; 32; 4; 4; 2; 1],0.18428160098847002,0.30347062882762965,tvm
64,16,16,2048,1024,16,16,8,1,1,[64; 16; 16; 2048; 1024; 16; 16; 8; 1; 1],0.16584254102781415,0.3372117490888787,tvm
32,32,8,7168,896,32,64,32,2,1,[32; 32; 8; 7168; 896; 32; 64; 32; 2; 1],0.17700720706488937,0.3159422390797457,tvm
32,16,4,2048,2048,32,32,1,2,0,[32; 16; 4; 2048; 2048; 32; 32; 1; 2; 0],0.15433888405095786,0.36234584484146565,tvm
64,64,4,3584,3584,16,16,8,1,0,[64; 64; 4; 3584; 3584; 16; 16; 8; 1; 0],0.13210470404010266,0.4233312790766075,tvm
64,16,8,14336,1792,16,32,32,1,1,[64; 16; 8; 14336; 1792; 16; 32; 32; 1; 1],0.17490531492512673,0.31973901626301776,tvm
32,32,4,3584,512,32,2,1,2,1,[32; 32; 4; 3584; 512; 32; 2; 1; 2; 1],0.22734157007653266,0.24599132184451336,tvm
64,16,8,3584,3584,32,64,1,2,1,[64; 16; 8; 3584; 3584; 32; 64; 1; 2; 1],0.3071410220582038,0.18207940104703962,tvm
32,16,2,14336,1024,32,16,4,2,0,[32; 16; 2; 14336; 1024; 32; 16; 4; 2; 0],0.20955519995186478,0.26687027258774393,tvm
